CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;COMPONENTE;H15;REGION;MAS_500;AGLOMERADO;PONDERA;CH03;CH04;CH05;CH06;CH07;CH08;CH09;CH10;CH11;CH12;CH13;CH14;CH15;CH15_COD;CH16;CH16_COD;NIVEL_ED;ESTADO;CAT_OCUP;CAT_INAC;IMPUTA;PP02C1;PP02C2;PP02C3;PP02C4;PP02C5;PP02C6;PP02C7;PP02C8;PP02E;PP02H;PP02I;PP03C;PP03D;PP3E_TOT;PP3F_TOT;PP03G;PP03H;PP03I;PP03J;INTENSI;PP04A;PP04B_COD;PP04B1;PP04B2;PP04B3_MES;PP04B3_ANO;PP04B3_DIA;PP04C;PP04C99;PP04D_COD;PP04G;PP05B2_MES;PP05B2_ANO;PP05B2_DIA;PP05C_1;PP05C_2;PP05C_3;PP05E;PP05F;PP05H;PP06A;PP06C;PP06D;PP06E;PP06H;PP07A;PP07C;PP07D;PP07E;PP07F1;PP07F2;PP07F3;PP07F4;PP07F5;PP07G1;PP07G2;PP07G3;PP07G4;PP07G_59;PP07H;PP07I;PP07J;PP07K;PP08D1;PP08D4;PP08F1;PP08F2;PP08J1;PP08J2;PP08J3;PP09A;PP09A_ESP;PP09B;PP09C;PP09C_ESP;PP10A;PP10C;PP10D;PP10E;PP11A;PP11B_COD;PP11B1;PP11B2_MES;PP11B2_ANO;PP11B2_DIA;PP11C;PP11C99;PP11D_COD;PP11G_ANO;PP11G_MES;PP11G_DIA;PP11L;PP11L1;PP11M;PP11N;PP11O;PP11P;PP11Q;PP11R;PP11S;PP11T;P21;DECOCUR;IDECOCUR;RDECOCUR;GDECOCUR;PDECOCUR;ADECOCUR;PONDIIO;TOT_P12;P47T;DECINDR;IDECINDR;RDECINDR;GDECINDR;PDECINDR;ADECINDR;PONDII;V2_M;V3_M;V4_M;V5_M;V8_M;V9_M;V10_M;V11_M;V12_M;V18_M;V19_AM;V21_M;T_VI;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;P21Actualizado
TQRMNOQRPHLMPNCDEIJAH00708318;2021;2;1;1;1;1;S;33;4724;1;1;01/01/1900;47;2;1;1;2;0;4;1;;1;;1;;4;1;3;0;;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;36,00;0,00;2.00;0.00;2.00;2.00;2.00;1.00;4901.00;2.00;0.00;0.00;0.00;0.00;99.00;9.00;34323.00;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.00;2.00;0.00;0.00;2.00;2.00;2.00;1.00;0.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;50000.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;50000;7;;7;7.00;;8;6307;0;50000.00;7;;7;7.00;;8;6325;0;0;0;0;0;0;0;0;0;0;0;0;0;50000;4;;4;4.00;;4;10000,00;2;;2;2.00;;2;6025;854780,86
TQRMNOQRPHLMPNCDEIJAH00708318;2021;2;1;2;1;1;S;33;4724;2;2;01/01/1900;39;2;1;1;1;1;6;2;2.00;1;;1;;5;3;0;3;;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;;0;4724;0;0.00;0;;0;;;0;4724;0;0;0;0;0;0;0;0;0;0;0;0;0;50000;4;;4;4.00;;4;10000,00;2;;2;2.00;;2;6025;0,00
TQRMNOQRPHLMPNCDEIJAH00708318;2021;2;1;3;1;1;S;33;4724;3;2;01/01/1900;19;5;1;1;1;1;6;2;1.00;1;;1;;5;3;0;3;;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;;0;4724;0;0.00;0;;0;;;0;4724;0;0;0;0;0;0;0;0;0;0;0;0;0;50000;4;;4;4.00;;4;10000,00;2;;2;2.00;;2;6025;0,00
TQRMNOQRPHLMPNCDEIJAH00708318;2021;2;1;4;1;1;S;33;4724;3;2;01/01/1900;15;5;1;1;1;1;4;2;2.00;1;;1;;3;3;0;3;;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;;0;4724;0;0.00;0;;0;;;0;4724;0;0;0;0;0;0;0;0;0;0;0;0;0;50000;4;;4;4.00;;4;10000,00;2;;2;2.00;;2;6025;0,00
TQRMNOQRPHLMPNCDEIJAH00708318;2021;2;1;5;1;1;S;33;4724;3;2;01/01/1900;13;5;1;1;1;1;4;2;1.00;1;;1;;3;3;0;3;;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;;0;4724;0;0.00;0;;0;;;0;4724;0;0;0;0;0;0;0;0;0;0;0;0;0;50000;4;;4;4.00;;4;10000,00;2;;2;2.00;;2;6025;0,00
TQRMNORVXHMLPSCDEIJAH00701135;2021;2;1;1;1;1;S;33;2470;1;2;02/02/1920;101;4;1;1;2;0;2;1;;3;14.00;1;;2;3;0;1;;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;;0;2470;0;30000.00;5;;5;5.00;;5;3122;30000;0;0;0;0;0;0;0;0;0;0;0;30000;86000;7;;7;7.00;;7;28666,67;7;;6;6.00;;7;4901;0,00
TQRMNORVXHMLPSCDEIJAH00701135;2021;2;1;2;1;1;S;33;2470;3;2;20/08/1950;70;2;1;1;2;0;2;1;;1;;1;;2;3;0;1;;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;;0;2470;0;26000.00;5;;4;5.00;;5;3265;26000;0;0;0;0;0;0;0;0;0;0;0;26000;86000;7;;7;7.00;;7;28666,67;7;;6;6.00;;7;4901;0,00
TQRMNORVXHMLPSCDEIJAH00701135;2021;2;1;3;1;1;S;33;2470;4;1;23/02/1949;72;2;1;1;2;0;2;1;;1;;1;;2;3;0;1;;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;;0;2470;0;30000.00;5;;5;5.00;;5;3510;30000;0;0;0;0;0;0;0;0;0;0;0;30000;86000;7;;7;7.00;;7;28666,67;7;;6;6.00;;7;4901;0,00
TQRMNORYVHKMPRCDEIJAH00655964;2021;2;1;1;1;1;S;33;3678;1;2;09/05/1949;72;4;1;1;2;0;2;2;4.00;3;30.00;1;;1;3;0;1;;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;;0;3678;0;35035.00;6;;5;6.00;;6;3785;35035;0;0;0;0;0;0;0;0;0;0;0;35035;35035;3;;2;3.00;;3;35035,00;8;;7;7.00;;8;3108;0,00
TQRMNOQXRHLMSMCDEIJAH00708319;2021;2;1;1;1;1;S;33;6522;1;1;04/02/1988;33;1;1;1;2;0;5;2;2.00;1;;1;;3;1;3;0;;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;48,00;0,00;2.00;0.00;2.00;2.00;3.00;2.00;1001.00;2.00;0.00;0.00;0.00;0.00;7.00;0.00;34323.00;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.00;2.00;0.00;0.00;1.00;2.00;1.00;2.00;0.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;62000.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;62000;9;;8;8.00;;9;7356;0;62000.00;9;;8;9.00;;9;8050;0;0;0;0;0;0;0;0;0;0;0;0;0;62000;5;;5;5.00;;5;15500,00;3;;3;3.00;;4;7156;1059928,26
