CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;COMPONENTE;H15;REGION;MAS_500;AGLOMERADO;PONDERA;CH03;CH04;CH05;CH06;CH07;CH08;CH09;CH10;CH11;CH12;CH13;CH14;CH15;CH15_COD;CH16;CH16_COD;NIVEL_ED;ESTADO;CAT_OCUP;CAT_INAC;IMPUTA;PP02C1;PP02C2;PP02C3;PP02C4;PP02C5;PP02C6;PP02C7;PP02C8;PP02E;PP02H;PP02I;PP03C;PP03D;PP3E_TOT;PP3F_TOT;PP03G;PP03H;PP03I;PP03J;INTENSI;PP04A;PP04B_COD;PP04B1;PP04B2;PP04B3_MES;PP04B3_ANO;PP04B3_DIA;PP04C;PP04C99;PP04D_COD;PP04G;PP05B2_MES;PP05B2_ANO;PP05B2_DIA;PP05C_1;PP05C_2;PP05C_3;PP05E;PP05F;PP05H;PP06A;PP06C;PP06D;PP06E;PP06H;PP07A;PP07C;PP07D;PP07E;PP07F1;PP07F2;PP07F3;PP07F4;PP07F5;PP07G1;PP07G2;PP07G3;PP07G4;PP07G_59;PP07H;PP07I;PP07J;PP07K;PP08D1;PP08D4;PP08F1;PP08F2;PP08J1;PP08J2;PP08J3;PP09A;PP09A_ESP;PP09B;PP09C;PP09C_ESP;PP10A;PP10C;PP10D;PP10E;PP11A;PP11B_COD;PP11B1;PP11B2_MES;PP11B2_ANO;PP11B2_DIA;PP11C;PP11C99;PP11D_COD;PP11G_ANO;PP11G_MES;PP11G_DIA;PP11L;PP11L1;PP11M;PP11N;PP11O;PP11P;PP11Q;PP11R;PP11S;PP11T;P21;DECOCUR;IDECOCUR;RDECOCUR;GDECOCUR;PDECOCUR;ADECOCUR;PONDIIO;TOT_P12;P47T;DECINDR;IDECINDR;RDECINDR;GDECINDR;PDECINDR;ADECINDR;PONDII;V2_M;V3_M;V4_M;V5_M;V8_M;V9_M;V10_M;V11_M;V12_M;V18_M;V19_AM;V21_M;T_VI;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;P21Actualizado
TQRMNOVSTHMKLTCDEGJBF00648371;2020;3;1;1;1;43;S;13;1025;1;2;03/05/2904;25;5;1;1;2;0;7;1;;3;26.00;1;;6;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;48,00;0,00;2.00;0.00;2.00;2.00;3.00;2.00;7302.00;2.00;0.00;0.00;0.00;0.00;1.00;0.00;30131.00;6.00;0.00;0.00;0.00;1.00;3.00;3.00;1.00;7.00;4.00;2.00;22000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;22000;5;05;5;;;6;987;0;42000.00;8;08;8;;;8;1031;0;0;0;0;0;0;0;0;20000;0;0;0;20000;42000;05;05;05;;;05;42000,00;09;09;09;;;09;991;518981,50
TQRMNOSYQHJKLPCDEGJBF00661057;2020;3;1;1;1;43;S;13;1647;1;2;;59;3;1;1;2;0;7;1;;2;;1;;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;55,00;0,00;2.00;0.00;2.00;2.00;3.00;1.00;8501.00;2.00;0.00;0.00;0.00;0.00;11.00;0.00;41332.00;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.00;2.00;0.00;0.00;2.00;2.00;2.00;2.00;5.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;60000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;60000;9;10;10;;;10;1561;0;90000.00;10;10;10;;;10;1622;30000;0;0;0;0;0;0;0;0;0;0;0;30000;90000;08;09;09;;;09;90000,00;10;10;10;;;10;1590;1415404,10
TQRMNORUWHJOMNCDEGJBF00661058;2020;3;1;1;1;43;S;13;1521;1;1;;72;2;1;1;2;0;6;1;;1;;1;;6;3;0;1;0;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;00;0;;;0;1521;0;17000.00;4;04;4;;;4;1554;17000;0;0;0;0;0;0;0;0;0;0;0;17000;34000;04;04;04;;;04;17000,00;05;05;05;;;05;1593;0,00
TQRMNORUWHJOMNCDEGJBF00661058;2020;3;1;2;1;43;S;13;1521;2;2;09/04/0204;71;2;1;1;2;0;4;1;;1;;1;;4;3;0;1;0;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;00;0;;;0;1521;0;17000.00;4;04;4;;;4;1614;17000;0;0;0;0;0;0;0;0;0;0;0;17000;34000;04;04;04;;;04;17000,00;05;05;05;;;05;1593;0,00
TQRMNOPSXHLMMOCDEGJBF00636467;2020;3;1;1;1;43;S;13;612;1;1;;83;2;1;1;2;0;2;1;;3;6.00;1;;2;3;0;1;0;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;00;0;;;0;612;0;28750.00;6;06;6;;;7;604;19500;0;0;0;0;0;0;0;0;0;0;9250;28750;99600;09;09;09;;;09;16600,00;05;05;05;;;05;661;0,00
TQRMNOPSXHLMMOCDEGJBF00636467;2020;3;1;2;1;43;S;13;612;2;2;;81;2;1;1;2;0;2;1;;3;6.00;1;;2;3;0;1;0;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;00;0;;;0;612;0;28750.00;6;06;6;;;7;628;19500;0;0;0;0;0;0;0;0;0;0;9250;28750;99600;09;09;09;;;09;16600,00;05;05;05;;;05;661;0,00
TQRMNOPSXHLMMOCDEGJBF00636467;2020;3;1;3;1;43;S;13;612;3;1;06/04/0304;51;2;4;1;2;0;4;2;4.00;1;;1;;3;2;3;0;0;1;1;2;2;2;1;2;2;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.00;2.00;1.00;3.00;1.00;8401.00;2.00;0.00;0.00;0.00;12.00;0.00;1.00;6.00;0.00;0.00;0.00;2.00;0.00;1.00;2.00;0.00;0.00;0.00;0.00;0.00;0;0;00;0;;;0;612;0;0.00;0;00;0;;;0;612;0;0;0;0;0;0;0;0;0;0;0;0;0;99600;09;09;09;;;09;16600,00;05;05;05;;;05;661;0,00
TQRMNOPSXHLMMOCDEGJBF00636467;2020;3;1;4;1;43;S;13;612;5;2;;17;5;4;1;1;2;5;2;2.00;1;;1;;3;3;0;3;0;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;00;0;;;0;612;0;0.00;0;00;0;;;0;612;0;0;0;0;0;0;0;0;0;0;0;0;0;99600;09;09;09;;;09;16600,00;05;05;05;;;05;661;0,00
TQRMNOPSXHLMMOCDEGJBF00636467;2020;3;1;5;1;43;S;13;612;5;2;;21;5;1;1;2;0;7;2;0.00;1;;1;;5;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;36,00;0,00;2.00;0.00;2.00;2.00;2.00;2.00;8200.00;2.00;0.00;0.00;0.00;0.00;11.00;0.00;35333.00;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.00;2.00;0.00;0.00;2.00;2.00;2.00;2.00;5.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;25000.00;0.00;0.00;0.00;7500.00;0.00;0.00;0.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;25000;5;06;5;;;6;650;0;32500.00;7;07;7;;;7;647;0;0;0;0;0;0;0;0;0;0;0;0;0;99600;09;09;09;;;09;16600,00;05;05;05;;;05;661;589751,71
TQRMNOPSXHLMMOCDEGJBF00636467;2020;3;1;6;1;43;S;13;612;5;2;;23;5;4;1;2;0;5;1;;1;;1;;4;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;20,00;0,00;2.00;0.00;2.00;2.00;2.00;2.00;1009.00;2.00;0.00;0.00;0.00;0.00;3.00;0.00;30314.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;9.00;4.00;2.00;2.00;2.00;2.00;5.00;2.00;2.00;2.00;2.00;5.00;2.00;2.00;1.00;4.00;9600.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;9600;2;02;2;;;3;658;0;9600.00;1;01;1;;;2;647;0;0;0;0;0;0;0;0;0;0;0;0;0;99600;09;09;09;;;09;16600,00;05;05;05;;;05;661;226464,66
