CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;COMPONENTE;H15;REGION;MAS_500;AGLOMERADO;PONDERA;CH03;CH04;CH05;CH06;CH07;CH08;CH09;CH10;CH11;CH12;CH13;CH14;CH15;CH15_COD;CH16;CH16_COD;NIVEL_ED;ESTADO;CAT_OCUP;CAT_INAC;IMPUTA;PP02C1;PP02C2;PP02C3;PP02C4;PP02C5;PP02C6;PP02C7;PP02C8;PP02E;PP02H;PP02I;PP03C;PP03D;PP3E_TOT;PP3F_TOT;PP03G;PP03H;PP03I;PP03J;INTENSI;PP04A;PP04B_COD;PP04B1;PP04B2;PP04B3_MES;PP04B3_ANO;PP04B3_DIA;PP04C;PP04C99;PP04D_COD;PP04G;PP05B2_MES;PP05B2_ANO;PP05B2_DIA;PP05C_1;PP05C_2;PP05C_3;PP05E;PP05F;PP05H;PP06A;PP06C;PP06D;PP06E;PP06H;PP07A;PP07C;PP07D;PP07E;PP07F1;PP07F2;PP07F3;PP07F4;PP07F5;PP07G1;PP07G2;PP07G3;PP07G4;PP07G_59;PP07H;PP07I;PP07J;PP07K;PP08D1;PP08D4;PP08F1;PP08F2;PP08J1;PP08J2;PP08J3;PP09A;PP09A_ESP;PP09B;PP09C;PP09C_ESP;PP10A;PP10C;PP10D;PP10E;PP11A;PP11B_COD;PP11B1;PP11B2_MES;PP11B2_ANO;PP11B2_DIA;PP11C;PP11C99;PP11D_COD;PP11G_ANO;PP11G_MES;PP11G_DIA;PP11L;PP11L1;PP11M;PP11N;PP11O;PP11P;PP11Q;PP11R;PP11S;PP11T;P21;DECOCUR;IDECOCUR;RDECOCUR;GDECOCUR;PDECOCUR;ADECOCUR;PONDIIO;TOT_P12;P47T;DECINDR;IDECINDR;RDECINDR;GDECINDR;PDECINDR;ADECINDR;PONDII;V2_M;V3_M;V4_M;V5_M;V8_M;V9_M;V10_M;V11_M;V12_M;V18_M;V19_AM;V21_M;T_VI;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;P21Actualizado
TQRMNOQVRHLMMOCDEGJBF00636504;2020;3;1;1;1;43;S;13;569;1;2;08/09/0704;47;1;1;1;2;0;7;1;;1;;1;;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;24,00;0,00;2.00;0.00;2.00;2.00;2.00;1.00;8600.00;2.00;0.00;0.00;0.00;0.00;9.00;0.00;40322.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.00;2.00;0.00;0.00;2.00;2.00;2.00;2.00;5.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;70000.00;0.00;0.00;0.00;35000.00;0.00;0.00;0.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;70000;10;10;10;;;10;581;0;105000.00;10;10;10;;;10;578;0;0;0;0;0;0;0;0;0;0;0;0;0;210000;10;10;10;;;10;105000,00;10;10;10;;;10;599;1651304,79
TQRMNOQVRHLMMOCDEGJBF00636504;2020;3;1;2;1;43;S;13;569;2;1;05/09/1304;60;1;1;1;2;0;7;1;;1;;1;;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;24,00;0,00;2.00;0.00;2.00;2.00;2.00;1.00;8600.00;2.00;0.00;0.00;0.00;0.00;9.00;0.00;40322.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.00;2.00;0.00;0.00;2.00;2.00;2.00;2.00;5.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;3.00;1.00;70000.00;0.00;0.00;0.00;35000.00;0.00;0.00;0.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;70000;10;10;10;;;10;608;0;105000.00;10;10;10;;;10;602;0;0;0;0;0;0;0;0;0;0;0;0;0;210000;10;10;10;;;10;105000,00;10;10;10;;;10;599;1651304,79
TQRMNOQVUHLMMOCDEGJBF00636407;2020;3;1;1;1;43;S;13;884;1;2;04/10/0104;53;3;1;1;2;0;4;1;;1;;1;;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;40,00;0,00;2.00;0.00;2.00;2.00;2.00;2.00;1400.00;2.00;0.00;0.00;0.00;0.00;2.00;0.00;80133.00;6.00;0.00;0.00;0.00;1.00;3.00;1.00;1.00;7.00;1.00;1.00;0.00;10000.00;3.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;10000;2;03;2;;;3;916;0;20000.00;4;05;4;;;5;916;0;0;0;10000;0;0;0;0;0;0;0;0;10000;82000;08;08;08;;;09;16400,00;05;05;04;;;05;1012;235900,68
TQRMNOQVUHLMMOCDEGJBF00636407;2020;3;1;3;1;43;S;13;884;3;1;;24;5;2;1;2;0;5;1;;1;;1;;4;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;30,00;0,00;2.00;0.00;2.00;2.00;2.00;2.00;6500.00;2.00;0.00;0.00;0.00;0.00;5.00;0.00;30333.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.00;2.00;0.00;0.00;2.00;2.00;2.00;2.00;5.00;2.00;2.00;2.00;2.00;5.00;2.00;1.00;1.00;3.00;20000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;20000;4;05;4;;;5;956;0;20000.00;4;05;4;;;5;936;0;0;0;0;0;0;0;0;0;0;0;0;0;82000;08;08;08;;;09;16400,00;05;05;04;;;05;1012;471801,37
TQRMNOQVUHLMMOCDEGJBF00636407;2020;3;1;4;1;43;S;13;884;3;2;;23;5;4;1;2;0;5;1;;1;;1;;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;25,00;0,00;2.00;0.00;2.00;2.00;2.00;2.00;8200.00;2.00;0.00;0.00;0.00;0.00;2.00;0.00;20133.00;6.00;0.00;0.00;0.00;1.00;3.00;1.00;1.00;7.00;1.00;1.00;0.00;3000.00;3.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;3000;1;01;1;;;1;952;0;3000.00;1;01;1;;;1;953;0;0;0;0;0;0;0;0;0;0;0;0;0;82000;08;08;08;;;09;16400,00;05;05;04;;;05;1012;70770,21
TQRMNOQVUHLMMOCDEGJBF00636407;2020;3;1;5;1;43;S;13;884;3;2;;21;5;2;1;1;2;7;2;2.00;1;;1;;5;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;30,00;0,00;2.00;0.00;2.00;2.00;2.00;2.00;4808.00;2.00;0.00;0.00;0.00;0.00;3.00;0.00;30314.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.00;2.00;0.00;0.00;2.00;2.00;2.00;2.00;5.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;18000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;18000;4;04;4;;;5;937;0;39000.00;8;08;8;;;8;934;14000;0;0;0;0;0;0;0;0;0;0;7000;21000;82000;08;08;08;;;09;16400,00;05;05;04;;;05;1012;424621,23
TQRMNOQVUHLMMOCDEGJBF00636407;2020;3;1;6;1;43;S;13;884;9;2;06/01/0404;69;5;1;1;2;0;2;1;;1;;1;;2;3;0;7;0;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;00;0;;;0;884;0;0.00;0;00;0;;;0;884;0;0;0;0;0;0;0;0;0;0;0;0;0;82000;08;08;08;;;09;16400,00;05;05;04;;;05;1012;0,00
TQRMNOSSSHLMMPCDEGJBF00636481;2020;3;1;2;1;43;S;13;838;2;1;;57;2;1;1;2;0;4;1;;3;6.00;1;;4;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0,00;0,00;2.00;0.00;2.00;2.00;4.00;1.00;8401.00;2.00;0.00;0.00;0.00;0.00;12.00;0.00;10202.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.00;2.00;0.00;0.00;2.00;2.00;2.00;2.00;5.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;50000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;50000;9;09;9;;;9;857;0;50000.00;8;09;9;;;9;887;0;0;0;0;0;0;0;0;0;0;0;0;0;50000;06;06;06;;;06;16666,67;05;05;05;;;05;864;1179503,42
TQRMNOSSSHLMMPCDEGJBF00636481;2020;3;1;3;1;43;S;13;838;3;2;;19;5;1;1;1;2;7;2;1.00;1;;1;;5;3;0;3;0;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;00;0;;;0;838;0;0.00;0;00;0;;;0;838;0;0;0;0;0;0;0;0;0;0;0;0;0;50000;06;06;06;;;06;16666,67;05;05;05;;;05;864;0,00
TQRMNOQTQHKMMPCDEGJBF00661077;2020;3;1;1;1;43;S;13;1110;1;2;;31;3;1;1;1;1;7;2;0.00;1;;1;;5;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;40,00;0,00;2.00;0.00;2.00;2.00;2.00;2.00;9409.00;2.00;0.00;0.00;0.00;0.00;8.00;0.00;20313.00;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.00;2.00;0.00;0.00;2.00;2.00;2.00;2.00;5.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;53000.00;0.00;0.00;0.00;25000.00;0.00;0.00;0.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;53000;9;10;9;;;10;1133;0;93000.00;10;10;10;;;10;1127;0;0;0;0;0;0;0;0;15000;0;0;0;15000;93000;09;09;09;;;09;31000,00;08;08;08;;;08;1152;1250273,62
TQRMNOQTQHKMMPCDEGJBF00661077;2020;3;1;2;1;43;S;13;1110;3;1;;10;5;1;1;1;1;3;2;4.00;1;;1;;1;3;0;3;0;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;00;0;;;0;1110;0;0.00;0;00;0;;;0;1110;0;0;0;0;0;0;0;0;0;0;0;0;0;93000;09;09;09;;;09;31000,00;08;08;08;;;08;1152;0,00
TQRMNOQTQHKMMPCDEGJBF00661077;2020;3;1;3;0;43;S;13;1110;3;1;;3;5;1;2;3;0;0;0;;1;;6;;7;4;0;5;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;00;0;;;0;1110;0;0.00;0;00;0;;;0;1110;0;0;0;0;0;0;0;0;0;0;0;0;0;93000;09;09;09;;;09;31000,00;08;08;08;;;08;1152;0,00
TQRMNOQTTHKMMPCDEGJBF00661078;2020;3;1;1;1;43;S;13;1110;1;1;;37;5;4;1;2;0;7;1;;5;212.00;1;;6;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;15,00;0,00;1.00;1.00;1.00;1.00;1.00;2.00;7100.00;2.00;0.00;0.00;0.00;0.00;2.00;0.00;72111.00;6.00;0.00;0.00;0.00;1.00;3.00;3.00;1.00;7.00;4.00;1.00;0.00;18000.00;3.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;18000;4;04;4;;;5;1125;0;28000.00;6;06;6;;;7;1153;0;0;0;10000;0;0;0;0;0;0;0;0;10000;28000;03;03;03;;;03;28000,00;07;08;08;;;08;1154;424621,23
TQRMNOQRYHKOKQCDEGJBF00661079;2020;3;1;1;1;43;S;13;1362;1;2;;25;1;1;1;2;0;5;1;;1;;1;;4;3;0;4;0;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;00;0;;;0;1362;0;0.00;0;00;0;;;0;1362;0;0;0;0;0;0;0;0;0;0;0;0;0;26000;03;02;03;;;03;6500,00;02;01;01;;;01;1382;0,00
TQRMNOQRYHKOKQCDEGJBF00661079;2020;3;1;2;1;43;S;13;1362;2;1;09/09/2904;24;1;1;1;2;0;3;2;6.00;1;;1;;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;48,00;0,00;2.00;0.00;2.00;2.00;3.00;2.00;4000.00;2.00;0.00;0.00;0.00;0.00;99.00;3.00;72314.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.00;2.00;0.00;0.00;2.00;2.00;2.00;1.00;0.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;16000.00;0.00;0.00;0.00;8000.00;0.00;0.00;0.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;16000;3;04;4;;;5;1403;2000;26000.00;6;06;6;;;6;1437;0;0;0;0;0;0;0;0;0;0;0;0;0;26000;03;02;03;;;03;6500,00;02;01;01;;;01;1382;377441,09
TQRMNOQRYHKOKQCDEGJBF00661079;2020;3;1;3;0;43;S;13;1362;3;2;;5;5;4;2;1;1;1;2;0.00;1;;1;;7;4;0;5;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;00;0;;;0;1362;0;0.00;0;00;0;;;0;1362;0;0;0;0;0;0;0;0;0;0;0;0;0;26000;03;02;03;;;03;6500,00;02;01;01;;;01;1382;0,00
TQRMNOQRYHKOKQCDEGJBF00661079;2020;3;1;4;0;43;S;13;1362;3;2;;-1;5;4;3;0;0;0;0;;1;;6;;7;4;0;5;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;00;0;;;0;1362;0;0.00;0;00;0;;;0;1362;0;0;0;0;0;0;0;0;0;0;0;0;0;26000;03;02;03;;;03;6500,00;02;01;01;;;01;1382;0,00
TQRMNOQSSHKOKQCDEGJBF00661080;2020;3;1;1;1;43;S;13;1362;1;2;;61;3;4;1;2;0;2;2;3.00;1;;1;;1;3;0;4;0;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;00;0;;;0;1362;0;5000.00;1;01;1;;;1;1371;0;0;0;0;0;0;0;0;5000;0;0;0;5000;5000;01;01;01;;;01;5000,00;01;01;01;;;01;1471;0,00
TQRMNORWXHKOKQCDEGJBF00661081;2020;3;1;1;1;43;S;13;1362;1;2;;48;2;1;1;2;0;6;1;;3;70.00;1;;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;50,00;0,00;2.00;0.00;2.00;2.00;3.00;2.00;8501.00;2.00;0.00;0.00;0.00;0.00;7.00;0.00;41332.00;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.00;2.00;0.00;0.00;2.00;2.00;2.00;2.00;5.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;42000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;42000;8;09;8;;;9;1341;0;42000.00;8;08;8;;;8;1395;0;0;0;0;0;0;0;0;0;0;0;0;0;132000;10;10;10;;;10;33000,00;08;09;08;;;09;1444;990782,87
