CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;COMPONENTE;H15;REGION;MAS_500;AGLOMERADO;PONDERA;CH03;CH04;CH05;CH06;CH07;CH08;CH09;CH10;CH11;CH12;CH13;CH14;CH15;CH15_COD;CH16;CH16_COD;NIVEL_ED;ESTADO;CAT_OCUP;CAT_INAC;IMPUTA;PP02C1;PP02C2;PP02C3;PP02C4;PP02C5;PP02C6;PP02C7;PP02C8;PP02E;PP02H;PP02I;PP03C;PP03D;PP3E_TOT;PP3F_TOT;PP03G;PP03H;PP03I;PP03J;INTENSI;PP04A;PP04B_COD;PP04B1;PP04B2;PP04B3_MES;PP04B3_ANO;PP04B3_DIA;PP04C;PP04C99;PP04D_COD;PP04G;PP05B2_MES;PP05B2_ANO;PP05B2_DIA;PP05C_1;PP05C_2;PP05C_3;PP05E;PP05F;PP05H;PP06A;PP06C;PP06D;PP06E;PP06H;PP07A;PP07C;PP07D;PP07E;PP07F1;PP07F2;PP07F3;PP07F4;PP07F5;PP07G1;PP07G2;PP07G3;PP07G4;PP07G_59;PP07H;PP07I;PP07J;PP07K;PP08D1;PP08D4;PP08F1;PP08F2;PP08J1;PP08J2;PP08J3;PP09A;PP09A_ESP;PP09B;PP09C;PP09C_ESP;PP10A;PP10C;PP10D;PP10E;PP11A;PP11B_COD;PP11B1;PP11B2_MES;PP11B2_ANO;PP11B2_DIA;PP11C;PP11C99;PP11D_COD;PP11G_ANO;PP11G_MES;PP11G_DIA;PP11L;PP11L1;PP11M;PP11N;PP11O;PP11P;PP11Q;PP11R;PP11S;PP11T;P21;DECOCUR;IDECOCUR;RDECOCUR;GDECOCUR;PDECOCUR;ADECOCUR;PONDIIO;TOT_P12;P47T;DECINDR;IDECINDR;RDECINDR;GDECINDR;PDECINDR;ADECINDR;PONDII;V2_M;V3_M;V4_M;V5_M;V8_M;V9_M;V10_M;V11_M;V12_M;V18_M;V19_AM;V21_M;T_VI;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;P21Actualizado;Unnamed: 177;V2_02_M;V2_03_M;V5_03_M;V11_02_M;PP07B1_01;EMPLEO;SECTOR;PP02A;PP02B;PP02D;PP02F;PP02G;PP03K;PP04A1;PP05B3;PP05I;PP05J;PP05K;PP06E1;PP06K;PP06K_SEM;PP06K_MES;PP06L;PP07F1_1;PP07F1_2;PP07F1_3;PP07I2;PP07I3;PP07I4;PP07L;PP07M;PP08G;PP08G_DSEM;PP08G_DMES;PP08H;PP10B1;PP10B2;PP10B3;PP10B4;PP10B5;PP10B6;PP10B7;PP10B8;PP10B9;PP10B10;PP11L2;V2_01_M;V5_01_M;V5_02_M;V11_01_M;V21_01_M;V21_02_M;V21_03_M;V22_01_M;V22_02_M;V22_03_M;P_DECCF;P_RDECCF;P_GDECCF;P_PDECCF;P_IDECCF;P_ADECCF
TQRMNOTPTHLOKTCDEIJAH00639325;2020;2;1;4;0;1;;33;353;3;1;14/01/2014;6;5;4;1;1;1;2;2;0.00;1;;1;;1;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0;  ;0;;;0;353;0;0.00;0;  ;0;;;0;353;0;0;0;0,0;0;0;0;0,0;0;0;0;0,0;0;28500;04;  ;04;;;04;7125.0;02;  ;03;;;03;478;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TQRMNOPUUHLMLMCDEIJAH00639631;2020;2;1;1;1;1;;33;9790;1;2;28/01/1986;34;5;1;1;2;0;6;1;;1;;1;;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2.00;2.00;16.0;16.0;2.00;0.00;2.00;2.00;2.00;1.00;8501.00;2.00;0.00;0.00;0.00;0.00;10.00;0.00;41332.00;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.00;2.00;0.00;0.00;2.00;2.00;2.00;2.00;5.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;25000.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;25000,0;5;  ;5;;;6;11692;25000;50000.00;9;  ;9;;;10;11736;0;0;0;0,0;0;0;0;0,0;0;0;0;0,0;0;80000;09;  ;09;;;09;40000.0;09;  ;09;;;10;15367;633393,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TQRMNOPUUHLMLMCDEIJAH00639631;2020;2;1;2;1;1;;33;9790;8;2;05/05/1977;43;5;1;1;2;0;7;1;;1;;1;;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;28.0;0.0;2.00;0.00;2.00;2.00;2.00;2.00;8600.00;2.00;0.00;0.00;0.00;0.00;10.00;0.00;40312.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.00;2.00;0.00;0.00;2.00;2.00;2.00;2.00;5.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;30000.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;30000,0;7;  ;6;;;7;13509;0;30000.00;7;  ;7;;;8;12636;0;0;0;0,0;0;0;0;0,0;0;0;0;0,0;0;80000;09;  ;09;;;09;40000.0;09;  ;09;;;10;15367;760072,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TQRMNOPRUHLOLNCDEIJAH00638872;2020;2;1;1;1;1;;33;2044;1;2;07/03/1974;46;5;2;1;2;0;4;2;3.00;4;225.00;1;;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;4.0;0.0;1.00;1.00;2.00;2.00;1.00;2.00;4807.00;2.00;0.00;0.00;0.00;0.00;1.00;0.00;30113.00;1.00;0.00;0.00;0.00;3.00;1.00;1.00;2.00;7.00;4.00;2.00;4000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;4000,0;1;  ;1;;;1;2480;0;19000.00;5;  ;5;;;5;2767;15000;0;0;0,0;0;0;0;0,0;0;0;0;0,0;15000;19000;02;  ;02;;;02;19000.0;07;  ;07;;;08;2183;101342,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TQRMNOQPPHLMLOCDEIJAH00639632;2020;2;1;1;1;1;;33;2503;1;2;02/12/1980;39;5;1;1;2;0;6;1;;1;;1;;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;30.0;0.0;2.00;0.00;2.00;2.00;2.00;2.00;9301.00;2.00;0.00;0.00;0.00;0.00;11.00;0.00;51203.00;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.00;2.00;0.00;0.00;2.00;2.00;2.00;2.00;5.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;70000.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;70000,0;10;  ;10;;;10;2989;0;70000.00;10;  ;10;;;10;3000;0;0;0;0,0;0;0;0;0,0;0;0;0;0,0;0;70000;08;  ;08;;;09;70000.0;10;  ;10;;;10;3240;1773501,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TQRMNORQQHLMLOCDEIJAH00638914;2020;2;1;1;1;1;;33;2503;1;1;14/02/1974;46;1;1;1;2;0;6;1;;1;;1;;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;40.0;0.0;2.00;0.00;2.00;2.00;2.00;1.00;8501.00;2.00;0.00;0.00;0.00;0.00;11.00;0.00;3001.00;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.00;2.00;0.00;0.00;2.00;2.00;2.00;2.00;5.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;90000.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;90000,0;10;  ;10;;;10;3188;0;90000.00;10;  ;10;;;10;3284;0;0;0;0,0;0;0;0;0,0;0;0;0;0,0;0;110000;10;  ;10;;;10;55000.0;10;  ;10;;;10;3799;2280216,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TQRMNORQQHLMLOCDEIJAH00638914;2020;2;1;2;1;1;;33;2503;2;2;08/02/1982;38;1;1;1;2;0;4;1;;1;;1;;4;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.0;0.0;2.00;0.00;2.00;2.00;4.00;2.00;1400.00;2.00;0.00;0.00;0.00;0.00;10.00;0.00;80323.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.00;2.00;0.00;0.00;2.00;2.00;2.00;2.00;5.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;20000.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;20000,0;4;  ;4;;;4;3157;0;20000.00;5;  ;5;;;6;3230;0;0;0;0,0;0;0;0;0,0;0;0;0;0,0;0;110000;10;  ;10;;;10;55000.0;10;  ;10;;;10;3799;506714,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TQRMNOTPUHMMLOCDEIJAH00639468;2020;2;1;1;1;1;;33;3075;1;1;29/07/1970;49;2;1;1;2;0;4;1;;1;;1;;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0.00;2.0;0.0;2.00;0.00;1.00;1.00;2.00;2.00;9503.00;2.00;0.00;0.00;0.00;0.00;1.00;0.00;72113.00;6.00;0.00;0.00;0.00;3.00;3.00;3.00;1.00;7.00;6.00;2.00;-9.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;-9,0;12;  ;12;;;12;0;0;-9.00;12;  ;12;;;12;0;0;0;0;0,0;0;0;0;0,0;0;0;0;0,0;0;0;  ;  ;  ;;;  ;0.0;  ;  ;  ;;;  ;0;938872,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TQRMNOTPUHMMLOCDEIJAH00639468;2020;2;1;2;1;1;;33;3075;2;2;29/12/1973;46;2;1;1;2;0;6;1;;1;;1;;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0.00;0.0;0.0;2.00;0.00;2.00;2.00;4.00;2.00;8501.00;2.00;0.00;0.00;0.00;0.00;3.00;0.00;5001.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.00;2.00;0.00;0.00;2.00;2.00;2.00;2.00;5.00;1.00;1.00;1.00;1.00;0.00;1.00;0.00;1.00;1.00;40000.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;40000,0;8;  ;7;;;8;3880;0;40000.00;8;  ;8;;;9;3969;0;0;0;0,0;0;0;0;0,0;0;0;0;0,0;0;0;  ;  ;  ;;;  ;0.0;  ;  ;  ;;;  ;0;1013429,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TQRMNOTPUHMMLOCDEIJAH00639468;2020;2;1;3;1;1;;33;3075;3;1;22/11/1999;20;5;1;1;1;1;6;2;2.00;1;;1;;5;3;0;3;0;0;0;0;0;0;0;0;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0;  ;0;;;0;3075;0;0.00;0;  ;0;;;0;3075;0;0;0;0,0;0;0;0;0,0;0;0;0;0,0;0;0;  ;  ;  ;;;  ;0.0;  ;  ;  ;;;  ;0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
